排名,关键词,TF-IDF权重
1,中国式,0.17212924028032922
2,感受,0.12482931140171194
3,现代化,0.1220803295492181
4,磅礴,0.12060384054732509
5,中国,0.09468163464451028
6,力量,0.07317396647993415
7,一起,0.07217746767244444
8,春耕,0.05274963865234568
9,冰雪,0.052328785630880656
10,全国,0.050772988187893005
11,80,0.04919657408600822
12,分钟,0.04394711862966255
13,强国,0.039745556405925926
14,10,0.03935725926880658
15,2024,0.03935725926880658
16,创新,0.03779905182814815
17,海洋,0.037767234305283955
18,我国,0.03656093659451852
19,奋进,0.036247920639012346
20,世界,0.03235206967088889
21,走进,0.03131159104666667
22,活力,0.03110516968415638
23,有多强,0.030899711829382715
24,能源,0.029808680232
25,人有,0.029517944451604935
26,新而行,0.029517944451604935
27,14,0.029517944451604935
28,绿电,0.029517944451604935
29,100,0.029517944451604935
30,90,0.029517944451604935
31,点赞,0.029517944451604935
32,60,0.029517944451604935
33,科技,0.02880135651066667
34,可开发量,0.028401931800493826
35,种地,0.028353615214090536
36,绿色,0.028075457088148147
37,第一,0.025544382368296297
38,这件,0.025133758455925925
39,澎湃,0.023502842018024692
40,大运河,0.023411943318962965
41,冬天,0.02338349708312757
42,点亮,0.023184736161629627
43,亿千瓦,0.02305266533459259
44,来自,0.022727351966625516
45,视角,0.022501693602938272
46,产业,0.022488454798312754
47,新疆,0.021572786267753087
48,万亩,0.02151430085466667
49,旅游,0.021131057542123455
50,共享,0.02048117428562963
